n,algo,Y_mean,Y_min,Y_max,Y_std,C_mean,C_min,C_max,C_std,X_mean,X_min,X_max,X_std
342586,pull,22.85,21,27,1.14346,6.27223e+06,5.53494e+06,7.43013e+06,372171,18.3085,1,27,2.16478
445362,push,32.925,31,37,1.26466,6.25988e+06,5.39921e+06,8.07521e+06,563359,18.8693,1,37,2.26986
445362,pull,23.605,21,32,1.40676,8.48247e+06,7.49451e+06,1.22133e+07,621862,19.0463,1,32,2.33576
578971,push,33.665,31,37,1.22179,8.34682e+06,6.80621e+06,1.02816e+07,706992,19.2484,1,37,2.26986
578971,pull,24.015,21,29,1.3209,1.12187e+07,9.69205e+06,1.42907e+07,741490,19.377,1,29,2.26849
752663,push,34.14,32,38,1.19599,1.09235e+07,9.30819e+06,1.38306e+07,900191,19.6269,1,38,2.27013
752663,pull,24.235,22,30,1.38195,1.47514e+07,1.29138e+07,1.92263e+07,984026,19.599,1,30,2.2838
978462,push,34.79,33,40,1.20661,1.44663e+07,1.27054e+07,1.95562e+07,1.18044e+06,20.0053,1,40,2.26988
978462,pull,24.645,22,29,1.32249,1.95554e+07,1.73636e+07,2.42558e+07,1.28011e+06,19.9859,1,29,2.28434
1272001,push,35.68,33,43,1.52237,1.94564e+07,1.60419e+07,2.87716e+07,1.93687e+06,20.3841,1,43,2.27002
1272001,pull,25.115,22,31,1.38988,2.59088e+07,2.23894e+07,3.36484e+07,1.67297e+06,20.3685,1,31,2.28825
1653602,push,36.08,34,43,1.19733,2.53295e+07,2.18808e+07,3.67734e+07,1.98e+06,20.7622,1,43,2.27
1653602,pull,25.495,23,30,1.2884,3.43218e+07,3.10364e+07,4.25843e+07,2.09584e+06,20.7558,1,30,2.26128
2149683,push,36.65,35,42,1.2278,3.33397e+07,2.97844e+07,4.4844e+07,2.6396e+06,21.1409,1,42,2.27009
2149683,pull,25.76,24,31,1.27373,4.51529e+07,4.05771e+07,5.59166e+07,2.64897e+06,21.0044,1,31,2.24174
2794588,push,37.415,35,42,1.31255,4.44213e+07,3.76687e+07,5.72363e+07,3.66826e+06,21.5195,1,42,2.27012
2794588,pull,26.34,24,32,1.38362,6.01796e+07,5.33828e+07,7.60708e+07,3.7445e+06,21.5343,1,32,2.30263
3632965,push,38.275,36,43,1.39261,5.94972e+07,5.11917e+07,7.66667e+07,5.05991e+06,21.898,1,43,2.27008
3632965,pull,26.6,24,33,1.253,7.9303e+07,7.02341e+07,1.01663e+08,4.49913e+06,21.8287,1,33,2.24515
4722855,push,38.68,36,44,1.17371,7.7471e+07,6.48122e+07,1.02607e+08,5.54397e+06,22.2766,1,44,2.27007
4722855,pull,27.13,25,36,1.50768,1.05433e+08,9.36919e+07,1.45458e+08,7.02061e+06,22.324,1,36,2.39089
6139712,push,39.355,37,44,1.25657,1.02534e+08,8.80652e+07,1.31056e+08,7.71527e+06,22.6549,1,44,2.27009
6139712,pull,27.68,25,35,1.51908,1.40282e+08,1.23591e+08,1.87727e+08,9.1063e+06,22.8483,1,35,2.3889
7981626,push,40.12,38,46,1.41972,1.36378e+08,1.19435e+08,1.83314e+08,1.1332e+07,23.0335,1,46,2.27006
7981626,pull,28.105,26,33,1.43317,1.85464e+08,1.66826e+08,2.22879e+08,1.1065e+07,23.2364,1,33,2.32999
10376114,push,40.64,38,48,1.43192,1.78758e+08,1.51342e+08,2.55121e+08,1.48567e+07,23.4122,1,48,2.27019
10376114,pull,28.145,26,34,1.19749,2.41371e+08,2.15693e+08,2.97374e+08,1.20209e+07,23.2622,1,34,2.20207
13488949,push,41.33,39,47,1.36788,2.36588e+08,2.05145e+08,3.13074e+08,1.84521e+07,-40.1846,1,47,0
13488949,pull,28.815,26,34,1.39312,3.22566e+08,2.8768e+08,3.94104e+08,1.82416e+07,-40.392,1,34,0
17535634,push,41.945,39,48,1.31984,3.11712e+08,2.60071e+08,4.17901e+08,2.31442e+07,-107.59,1,48,0
17535634,pull,29.055,27,33,1.18405,4.22259e+08,3.88129e+08,4.89735e+08,2.06413e+07,-107.194,1,33,0
22796325,push,42.605,40,50,1.34126,4.11641e+08,3.52217e+08,5.80245e+08,3.0576e+07,423.459,1,50,0
22796325,pull,29.435,27,33,1.10715,5.57864e+08,5.03583e+08,6.50284e+08,2.48986e+07,422.149,1,33,0
29635223,push,43.27,41,48,1.24382,5.43623e+08,4.76308e+08,6.83798e+08,3.6861e+07,90.5218,1,48,0
29635223,pull,29.87,28,34,1.25821,7.37573e+08,6.76129e+08,8.70513e+08,3.68786e+07,90.3845,1,34,0
38525790,push,44.1,42,46,1.22066,7.24108e+08,6.43234e+08,7.97333e+08,4.70269e+07,25.3046,1,46,2.26999
38525790,pull,30.1,29,32,1.04403,9.66828e+08,9.11963e+08,1.045e+09,3.74381e+07,25.0956,1,32,2.10977
50083527,push,43.8,42,45,0.87178,9.07371e+08,8.17227e+08,9.67492e+08,4.36605e+07,25.6828,1,45,2.26998
50083527,pull,30.4,29,33,1.0198,1.26949e+09,1.22394e+09,1.41577e+09,5.23231e+07,25.3474,1,33,2.14444
65108586,push,45.1,44,46,0.7,1.23956e+09,1.16792e+09,1.29819e+09,4.55785e+07,26.0616,1,46,2.27002
65108586,pull,31,29,33,1.26491,1.69087e+09,1.58938e+09,1.84131e+09,8.21202e+07,25.97,1,33,2.25784
84641162,push,45.4,44,47,1.11355,1.60477e+09,1.48624e+09,1.74026e+09,9.4267e+07,26.4403,1,47,2.27014
84641162,pull,31.1,30,34,1.13578,2.21036e+09,2.12262e+09,2.39791e+09,7.38282e+07,26.1145,1,34,2.0659
110033511,push,46.6,46,48,0.8,2.17661e+09,2.11058e+09,2.33066e+09,8.80339e+07,26.8186,1,48,2.27009
110033511,pull,31.8,31,34,1.16619,2.93337e+09,2.80283e+09,3.19727e+09,1.37389e+08,26.6589,1,34,2.25087
143043565,push,47.2,45,50,1.93907,2.86126e+09,2.54654e+09,3.26176e+09,2.77368e+08,27.1973,1,50,2.27013
143043565,pull,32.8,31,35,1.46969,3.96205e+09,3.69728e+09,4.3333e+09,2.44029e+08,27.6982,1,35,2.53326
185956635,push,48.2,47,50,1.16619,3.83524e+09,3.61202e+09,4.16998e+09,2.16887e+08,27.5756,1,50,2.27004
185956635,pull,33.6,33,35,0.8,5.24862e+09,5.09742e+09,5.46609e+09,1.46527e+08,28.225,1,35,2.03175
241743626,push,48,47,50,1.26491,4.84595e+09,4.60414e+09,5.32949e+09,3.05804e+08,27.9542,1,50,2.27008
241743626,pull,32.8,32,36,1.6,6.64004e+09,6.38098e+09,7.4204e+09,3.94954e+08,27.4673,1,36,2.4852
314266714,push,49.2,48,51,0.979796,6.5579e+09,6.18085e+09,7.12353e+09,3.07885e+08,28.3327,1,51,2.2701
314266714,pull,33.4,32,35,1.0198,8.81261e+09,8.28948e+09,9.26074e+09,3.36932e+08,28.0418,1,35,2.15786
408546729,push,49.2,49,50,0.4,8.3706e+09,8.28884e+09,8.69747e+09,1.63431e+08,28.7113,1,50,2.27009
408546729,pull,34,32,37,1.78885,1.17342e+10,1.09791e+10,1.30251e+10,7.45953e+08,28.7219,1,37,2.61549
531110748,push,50.4,49,52,1.2,1.13181e+10,1.05744e+10,1.21678e+10,6.3735e+08,-47.1202,1,52,0
531110748,pull,35.2,32,37,1.93907,1.5921e+10,1.42028e+10,1.70825e+10,1.04651e+09,-48.5571,1,37,0
690443973,push,50.8,49,53,1.6,1.47284e+10,1.34855e+10,1.62473e+10,1.10469e+09,-120.713,1,53,0
690443973,pull,34.6,34,35,0.489898,2.03093e+10,1.98772e+10,2.0611e+10,2.60605e+08,-120.495,1,35,0
897577165,push,50.6,50,52,0.8,1.86276e+10,1.80891e+10,1.98841e+10,7.18032e+08,694.329,1,52,0
897577165,pull,35.4,34,37,1.0198,2.69532e+10,2.53486e+10,2.8148e+10,9.90238e+08,698.563,1,37,0
1166850315,push,51.8,51,52,0.4,2.51744e+10,2.42409e+10,2.5408e+10,4.66756e+08,114.561,1,52,0
1166850315,pull,36.2,35,38,1.46969,3.5927e+10,3.42951e+10,3.82056e+10,1.79369e+09,116.7,1,38,0
1516905410,push,52.6,51,54,1.0198,3.33661e+10,3.09391e+10,3.54898e+10,1.54693e+09,-230.867,1,54,0
1516905410,pull,36.6,34,41,2.33238,4.7473e+10,4.35161e+10,5.34755e+10,3.26558e+09,-236.088,1,41,0
1971977033,push,54,53,57,1.54919,4.53903e+10,4.34181e+10,5.13061e+10,3.05494e+09,240.547,1,57,0
1971977033,pull,36.2,35,38,1.16619,6.09324e+10,5.89234e+10,6.51327e+10,2.26601e+09,239.901,1,38,0
